retailer,affiliate_network,quality,category,category_group,is_merchant_active,is_merchant_monetized,avg_cpa_in,avg_margin_eur,avg_revenue_eur,avg_gmv_eur,avg_cb_total_eur,total_transactions,months_with_data,margin_alert
Broń.pl,No Affiliate Network,E,not_attributed,not_attributed,True,,8.0,0.27,360.85,4510.6,360.58,16,3,False
Byrokko,Commission Junction,E,Health & Beauty,Multi-Category,True,True,17.0,31.22,37.9,222.97,6.69,1,1,False
CCC,AWIN,A+,Footwear,Fashion,True,,6.28,4.18,15.05,240.41,10.87,41,9,False
CDKeys,Admitad,D,Online Gaming,Technology,True,True,2.9,0.23,1.35,51.81,0.91,11,5,False
Carrefour,Admitad,B,Multi-Departments,Multi-Category,True,,3.1,0.02,2.75,88.46,2.3,9,6,False
Castorama,Admitad,A,Home & Garden,Multi-Category,True,True,4.0,7.79,82.75,2068.78,74.96,37,7,False
Ceneo,Tradedoubler,C,Multi-Departments,Multi-Category,True,,34.5,5.17,9.94,483.53,4.77,35,6,False
Cocolita,Tradedoubler,AA,Health & Beauty,Multi-Category,True,,5.72,19.9,42.64,796.94,22.74,12,6,False
Colorland,Tradetracker,A,Gifts & Flowers,Lifestyle,True,True,10.1,-1.68,2.82,28.55,2.86,4,3,True
Crocs,AWIN,C,Footwear,Fashion,True,,4.0,0.0,34.64,865.98,34.64,2,1,False
Cropp,Commission Junction,A,Fashion,Fashion,True,True,6.4,1.02,7.23,112.32,5.39,13,4,False
Cyfrowe.pl,Tradetracker,B,Electronics,Technology,True,True,1.75,-5.89,63.15,3453.56,69.04,11,4,True
DHGate,Commission Junction,B,Electronics,Technology,True,True,2.0,0.0,0.23,11.5,0.23,1,1,False
DHL,Tradedoubler,B,Utilities,Services,True,,9.17,0.39,2.19,21.94,0.39,6,3,False
Dstreet,AWIN,B,Fashion,Fashion,True,,9.0,0.0,144.98,1610.88,144.98,14,5,False
Decathlon,Webgains,A,Sport Fashion,Fashion,True,,2.29,-13.3,6.39,277.18,19.68,27,9,True
Dedoles,Commission Junction,C,Fashion,Fashion,True,True,8.0,0.0,1.19,14.87,1.19,2,1,False
DeLonghi,Tradedoubler,B,Appliance,Technology,True,True,6.0,0.98,34.91,581.91,33.93,6,3,False
Dermacol,Commission Junction,E,not_attributed,not_attributed,True,,4.0,-4.91,6.98,174.54,11.9,4,4,True
Diablo Chairs,Commission Junction,B,Home & Garden,Multi-Category,True,True,5.17,0.0,225.15,4639.75,225.15,7,3,False
Douglas,AWIN,AA+,Health & Beauty,Multi-Category,True,True,7.23,-2.58,14.18,160.3,16.77,16,7,True
Drogeria.pl,Tradedoubler,E,not_attributed,not_attributed,True,True,5.0,10.94,59.05,1250.64,48.11,9,5,False
Dyson,Tradedoubler,A+,Electronics,Technology,True,True,1.0,-0.02,3.66,91.35,3.68,4,4,True
eBilet,Tradedoubler,C,Entertainment,Lifestyle,True,,1.0,-0.0,0.95,94.55,0.96,4,3,False
EMP,AWIN,C,Entertainment,Lifestyle,True,,4.0,0.0,1.96,49.04,1.96,1,1,False
ESET,Commission Junction,A,Electronics,Technology,True,,10.0,0.0,7.26,72.65,3.42,2,2,False
Electrolux,Tradedoubler,B,Appliance,Technology,True,,4.24,36.83,412.27,9456.29,375.45,11,5,False
Eltrox,Tradetracker,D,Electronics,Technology,True,True,4.5,0.0,72.41,1609.04,72.41,4,4,False
Empik,Tradedoubler,AAA,Multi-Departments,Multi-Category,True,True,2.33,-181.61,45.56,2509.4,227.16,310,11,True
Endo,AWIN,E,Fashion,Fashion,True,,9.0,0.0,54.96,610.61,54.96,2,2,False
Erli,Admitad,A+,Multi-Departments,Multi-Category,True,True,3.31,-3.71,241.15,7444.0,244.86,317,9,True
Estro,Commission Junction,E,Fashion,Fashion,True,True,7.0,0.0,20.65,295.02,18.14,2,2,False
Eurofirany,No Affiliate Network,B,Home & Garden,Multi-Category,True,False,5.0,-0.32,101.26,2031.72,101.59,2,1,True
Euroflorist,Tradedoubler,D,Unknown,Unknown,True,True,12.0,-0.15,3.25,27.12,3.4,3,3,True
Eveline,Tradedoubler,C,Health & Beauty,Multi-Category,True,,7.0,-0.36,72.29,1032.7,72.35,15,7,True
Eventim,AWIN,B,Unknown,Unknown,True,True,2.0,0.54,2.84,142.22,2.31,7,4,False
Fera,AWIN,C,Pets,Lifestyle,True,,4.0,0.0,1.69,42.26,1.69,3,2,False
Fielmann,AWIN,C,Health & Beauty,Multi-Category,True,True,8.0,1.32,15.88,198.54,14.56,5,2,False
Flexispot,Webgains,E,not_attributed,not_attributed,True,,5.0,3.52,17.58,351.66,14.07,1,1,False
Flixbus,AWIN,B,Transports & Car rental,Travel,True,,3.95,0.01,1.74,44.0,1.73,35,8,False
Footshop,Commission Junction,B,Footwear,Fashion,True,,4.0,72.89,96.92,2403.37,24.03,3,1,False
FotoForma,Tradedoubler,B,Utilities,Services,True,True,2.5,1.67,268.03,10721.34,266.36,3,1,False
G2A,AWIN,A,Online Gaming,Technology,True,True,4.0,-0.25,2.73,68.52,2.98,22,6,True
GOG,Commission Junction,B,Online Gaming,Technology,True,True,6.0,1.02,2.82,47.02,1.61,46,4,False
Gabriella,No Affiliate Network,C,Fashion,Fashion,True,False,4.5,0.0,0.98,21.82,0.98,1,1,False
Gameseal,Commission Junction,D,not_attributed,not_attributed,True,True,6.0,-206.04,20.6,343.38,226.64,55,6,True
Gamivo,Commission Junction,C,Electronics,Technology,True,,8.33,-345.72,54.71,555.79,399.26,39,3,True
Geekbuying.pl,Admitad,C,Electronics,Technology,True,True,5.0,5.01,28.82,575.64,23.82,3,3,False
GetYourGuide,Tradedoubler,B,Travel agencies,Travel,True,True,5.0,-0.66,9.84,196.82,10.5,11,5,True
Giacomo Conti,Tradetracker,C,Fashion,Fashion,True,,5.0,0.0,206.13,4122.56,206.13,6,3,False
Gomez,Tradedoubler,A,Fashion,Fashion,True,,5.0,1.6,39.52,624.43,37.92,4,2,False
Greenpoint,Webgains,D,Fashion,Fashion,True,True,8.0,11.77,22.95,286.94,11.18,9,6,False
Groupon,AWIN,B,Multi-Departments,Multi-Category,True,,4.72,-0.08,16.57,479.99,16.65,21,6,True
Hebe,Tradedoubler,A,Health & Beauty,Multi-Category,True,,6.27,-8.0,14.92,235.92,22.92,105,10,True
Homla,Tradedoubler,A,Home & Garden,Multi-Category,True,True,4.8,0.0,4.39,91.5,4.39,10,6,False
Huawei,Tradedoubler,A,Electronics,Technology,True,,3.8,0.58,6.37,165.83,5.79,1,1,False
Intymna,Tradedoubler,C,Fashion,Fashion,True,,6.2,0.41,1.45,23.46,1.04,1,1,False
JD Sports,AWIN,A,Footwear,Fashion,True,,6.24,-0.39,4.06,78.94,4.45,5,5,True
Joom,Admitad,D,Multi-Departments,Multi-Category,True,True,9.8,0.06,3.38,34.62,3.32,6,2,False
KFC,Commission Junction,A,Food & Drink,Lifestyle,True,True,5.5,-0.22,2.77,50.06,2.98,20,7,True
Katalog Marzeń,Admitad,D,Gifts & Flowers,Lifestyle,True,,2.8,0.0,0.98,34.97,0.72,3,3,False
Kazar,No Affiliate Network,C,Fashion,Fashion,True,False,6.5,0.0,400.66,6164.0,400.66,3,1,False
Kenwood,Tradedoubler,C,Home & Garden,Multi-Category,True,,6.0,-0.09,13.73,228.76,13.82,1,1,True
Kinguin,Admitad,A+,Online Gaming,Technology,True,,2.22,-4.45,2.25,99.72,6.7,52,9,True
Kiwi.com,Commission Junction,B,Travel agencies,Travel,True,,4.5,1.27,3.8,84.47,2.54,1,1,False
Komputronik,Admitad,E,Electronics,Technology,True,,1.5,0.5,29.27,1936.81,25.91,7,5,False
Konesso,No Affiliate Network,A+,Food & Drink,Lifestyle,True,False,3.2,-6.1,27.8,915.62,33.9,8,4,True
Krakvet,Tradedoubler,A,Pets,Lifestyle,True,True,4.0,-7.46,9.86,246.6,17.32,5,2,True
Król Materacy,No Affiliate Network,E,not_attributed,not_attributed,True,,8.0,0.0,61.87,773.4,61.87,2,1,False
LEGO,Rakuten,A+,Entertainment,Lifestyle,True,True,4.6,3.53,6.46,110.29,2.91,7,5,False
LG,AWIN,B,Appliance,Technology,True,,1.7,-6.93,9.9,673.26,16.83,5,5,True
LOT,Commission Junction,A,Airlines,Travel,True,,1.5,0.66,33.18,2212.17,32.53,23,5,False
Lampy.pl,AWIN,B,Home & Garden,Multi-Category,True,,7.5,-0.75,71.59,904.2,72.33,4,3,True
Legimi,AWIN,B,Entertainment,Lifestyle,True,,1467.6,0.0,268.9,46.23,268.9,592,6,False
Leo Express,Commission Junction,E,not_attributed,not_attributed,True,,14.0,0.0,5.79,41.33,5.79,1,1,False
Leroy Merlin,Commission Junction,AA+,Home & Garden,Multi-Category,True,,3.94,-2.15,66.15,1799.29,68.31,107,12,True
Lidl,Tradedoubler,A,Food & Drink,Lifestyle,True,,1.71,74.9,290.51,5793.77,215.61,219,7,False
Lookfantastic,AWIN,C,Health & Beauty,Multi-Category,True,True,4.8,-0.44,2.2,45.38,2.64,2,1,True
Mamyito,Tradedoubler,D,not_attributed,not_attributed,True,,5.0,0.14,4.0,81.08,3.86,7,4,False
Mango Outlet,Rakuten,B,Fashion,Fashion,True,,7.67,-5.93,27.12,282.31,30.96,9,3,True
Marilyn,Webgains,D,Fashion,Fashion,True,,6.0,0.0,26.7,444.95,26.7,3,3,False
Max Elektro,Tradedoubler,B,Appliance,Technology,True,,4.0,22.62,94.36,2358.83,71.74,6,5,False
