date,retailer,slug,igraal_rate,cashback_type
2026-04-27,Drop,drop,5.38,%
2026-04-27,Dstreet,dstreet,9.0,%
2026-04-27,Dyson,dyson,4.0,%
2026-04-27,e-torty,e-torty,10.0,%
2026-04-27,eBilet,ebilet,1.0,%
2026-04-27,Ecco,ecco,,no cashback
2026-04-27,Electrolux,electrolux,4.0,%
2026-04-27,Eltrox,eltrox,4.5,%
2026-04-27,EMP,emp,7.0,%
2026-04-27,Empik Foto,empikfoto,10.0,%
2026-04-27,Endo,endo,9.0,%
2026-04-27,eobuwie,eobuwie,6.0,%
2026-04-27,Erli,erli,6.0,%
2026-04-27,ESET,eset,10.0,%
2026-04-27,eSky,esky,3.5,%
2026-04-27,Estro,estro,7.0,%
2026-04-27,Eurofirany,eurofirany,,no cashback
2026-04-27,Euroflorist,euroflorist,12.0,%
2026-04-27,Eveline,eveline,7.0,%
2026-04-27,Eventim,eventim,2.0,%
2026-04-27,Fera,fera,4.0,%
2026-04-27,Fielmann,fielmann,6.0,%
2026-04-27,Flexispot,flexispot,4.0,%
2026-04-27,Flixbus,flixbus,10.0,%
2026-04-27,Footshop,footshop,5.0,%
2026-04-27,Foreo,foreo,20.0,%
2026-04-27,FotoForma,fotoforma,2.5,%
2026-04-27,G2A,g2a,5.0,%
2026-04-27,Gabriella,gabriella,,no cashback
2026-04-27,Gameseal,gameseal,5.0,%
2026-04-27,Gamivo,gamivo,4.0,%
2026-04-27,Geekbuying.pl,geekbuying,6.0,%
2026-04-27,GetYourGuide,getyourguide,4.0,%
2026-04-27,Giacomo Conti,giacomo,5.0,%
2026-04-27,GOG,gog,6.0,%
2026-04-27,Gomez,gomez,6.5,%
2026-04-27,Greenpoint,greenpoint,4.0,%
2026-04-27,Groupon,groupon,10.0,%
2026-04-27,Herbapol,herbapol,,no cashback
2026-04-27,Homla,homla,4.8,%
2026-04-27,HP,hp,7.0,%
2026-04-27,Huawei,huawei,3.5,%
2026-04-27,iBOOD,ibood,1.0,%
2026-04-27,iDream,idream,3.0,%
2026-04-27,iHerb,iherb,10.0,%
2026-04-27,iParts,iparts,3.5,%
2026-04-27,JD Sports,jdsports,5.0,%
2026-04-27,Joom,joom,15.0,%
2026-04-27,Katalog Marzeń,katalog-marzen,2.8,%
2026-04-27,Kazar,kazar,,no cashback
2026-04-27,Kenwood,kenwood,6.0,%
2026-04-27,KFC,kfc,4.0,%
2026-04-27,Kinguin,kinguin,5.0,%
2026-04-27,Kiwi,kiwi,3.0,%
2026-04-27,Komputronik,komputronik,1.5,%
2026-04-27,Konesso,konesso,,no cashback
2026-04-27,Krakvet,krakvet,2.0,%
2026-04-27,Król Materacy,krolmateracy,,no cashback
2026-04-27,Lacoste,lacoste,8.0,%
2026-04-27,Lampy.pl,lampy,8.0,%
2026-04-27,Legimi,legimi,15.0,%
2026-04-27,LEGO,lego,3.0,%
2026-04-27,Leo Express,leoexpress,4.0,%
2026-04-27,Levi's,levis,5.0,%
2026-04-27,LG,lg,2.5,%
2026-04-27,lionelo,lionelo,,no cashback
2026-04-27,Loaded,cdkeys,5.0,%
2026-04-27,Lokalny Rolnik,lokalnyrolnik,4.5,%
2026-04-27,Lookfantastic,lookfantastic,5.0,%
2026-04-27,LOT,lot,1.5,%
2026-04-27,Mamyito,mamyito,10.0,%
2026-04-27,Mango Outlet,mango-outlet,3.0,%
2026-04-27,Marilyn,marilyn,6.0,%
2026-04-27,Max Elektro,maxelektro,2.0,%
2026-04-27,Maxi Zoo,maxizoo,5.0,%
2026-04-27,MebleMWM,meblemwm,6.0,%
2026-04-27,Medicine,wearmedicine,6.0,%
2026-04-27,Merkury Market,merkurymarket,3.5,%
2026-04-27,Michael Kors,michaelkors,3.0,%
2026-04-27,Modivo,modivo.pl,6.0,%
2026-04-27,Morele.net,morele,,zł
2026-04-27,Mountain Warehouse,mountainwarehouse,6.0,%
2026-04-27,MyProtein,myprotein,10.0,%
2026-04-27,NAOKO,naoko,5.0,%
2026-04-27,Neness,neness,6.0,%
2026-04-27,NEONAIL,neonail,7.0,%
2026-04-27,New Balance,nbsklep,18.0,%
2026-04-27,Nike,nike,,no cashback
2026-04-27,Ninja,ninja,4.0,%
2026-04-27,NordVPN,nordvpn,40.0,%
2026-04-27,norton,norton,25.0,%
2026-04-27,Notino,notino,5.0,%
2026-04-27,Novakid,novakid,,zł
2026-04-27,OleOle!,oleole,1.0,%
2026-04-27,Olimp Store,olimp-store,4.0,%
2026-04-27,Ombre,ombre,,zł
2026-04-27,Orange,orange,2.11,%
2026-04-27,Pan Materac,panmaterac,8.0,%
2026-04-27,Parfumdreams,parfumdreams,12.0,%
2026-04-27,Perfumeria,perfumeria.pl,3.84,%
2026-04-27,Perfumy.pl,perfumy,5.0,%
2026-04-27,Petkarma,petkarma,10.0,%
2026-04-27,Philips,philips,7.0,%
2026-04-27,Philips Hue,philips-hue,7.0,%
2026-04-27,Play,play,,zł
2026-04-27,PRM,prm,15.0,%
2026-04-27,Przyjaciele Kawy,przyjacielekawy,6.0,%
2026-04-27,Puma,puma,6.0,%
2026-04-27,Pyszne.pl,pyszne,2.0,%
2026-04-27,Radisson Hotels,radissonhotels,4.0,%
2026-04-27,Recman,recman,5.0,%
2026-04-27,Regatta,regatta,5.0,%
2026-04-27,Remix,remix,12.25,%
2026-04-27,Renee,renee,6.0,%
2026-04-27,Reporter Young,reporteryoung,3.5,%
2026-04-27,Ryobi,ryobi,4.0,%
2026-04-27,Samsung,samsung,3.0,%
2026-04-27,Senpo.pl,senpo.pl,8.0,%
2026-04-27,Sferis,sferis,1.6,%
2026-04-27,Shark,shark,4.0,%
2026-04-27,Sinsay,sinsay,10.0,%
2026-04-27,Skechers,skechers,8.5,%
2026-04-27,SkyShowtime,skyshowtime,,zł
2026-04-27,Sony.pl,sony,2.5,%
2026-04-27,SportStyleStory,sportstylestory,6.0,%
2026-04-27,Stradivarius,stradivarius,,no cashback
2026-04-27,Streetstyle24,streetstyle24,6.0,%
2026-04-27,Stylevana,stylevana,7.19,%
2026-04-27,Sun & Snow,sun-and-snow,4.5,%
2026-04-27,Surfshark,surfshark,,zł
2026-04-27,Świat supli,swiatsupli,5.0,%
2026-04-27,Tagomago,tagomago,3.0,%
2026-04-27,Teufel,teufel,4.0,%
2026-04-27,Top Secret,topsecret,,zł
2026-04-27,Trip.com,trip-com,5.5,%
2026-04-27,Ubisoft,ubisoft,0.5,%
2026-04-27,Ucando,ucando,4.0,%
2026-04-27,Udemy,udemy,10.0,%
2026-04-27,Under Armour,under-armour,6.0,%
2026-04-27,Van Graaf,vangraaf,7.0,%
2026-04-27,Vans,vans,4.0,%
2026-04-27,Victoria's Secret,victorias-secret,3.5,%
2026-04-27,VidaXL,vidaxl,2.9,%
2026-04-27,Vision Express,visionexpress,6.0,%
2026-04-27,Vobis,vobis,1.5,%
2026-04-27,Volcano,volcano,7.0,%
2026-04-27,Wolt,wolt,,zł
2026-04-27,Wrangler,wrangler,10.0,%
2026-04-27,x-kom,x-kom,,no cashback
2026-04-27,Xiaomi,mi,2.0,%
2026-04-27,Yanosik,yanosik,3.0,%
2026-04-27,Yves Rocher,yves-rocher,5.0,%
2026-04-27,Znak,znak,3.0,%
2026-04-27,zooplus,zooplus,1.5,%
2026-04-27,4Home,4home,,no cashback
2026-04-27,4kidspoint,4kidspoint,3.5,%
2026-04-27,7way,7way,3.5,%
