retailer,month,revenue,gmv,margin,cpa_in,transactions,cb_total
Flixbus,202601,0.42,13.98,0.0,3.0,3,0.42
Flixbus,202602,1.18,39.28,0.0,3.0,4,1.18
Flixbus,202603,1.84,40.22,0.0,4.6,6,1.84
Flixbus,202604,2.27,75.6,0.0,3.0,5,2.27
Flixbus,202605,1.32,26.31,0.6,5.0,5,0.71
Footshop,202603,96.92,2403.37,72.89,4.0,3,24.03
FotoForma,202603,268.03,10721.34,1.67,2.5,3,266.36
G2A,202601,2.38,47.64,0.0,5.0,2,2.38
G2A,202602,1.16,30.33,-0.35,3.8,2,1.52
G2A,202603,4.04,104.91,-1.21,3.8,5,5.25
G2A,202604,2.96,76.99,-0.89,3.8,6,3.85
GOG,202511,0.78,13.04,0.0,6.0,1,0.0
GOG,202603,0.59,9.81,0.03,6.0,3,0.56
GOG,202604,1.81,30.2,-0.0,6.0,3,1.82
Gabriella,202602,0.98,21.82,0.0,4.5,1,0.98
Gameseal,202512,5.2,86.73,-6.54,6.0,4,11.74
Gameseal,202601,0.87,14.52,-0.58,6.0,1,1.45
Gameseal,202602,99.63,1660.62,-1206.34,6.0,36,1305.98
Gameseal,202603,1.5,24.95,-1.5,6.0,1,2.99
Gameseal,202604,4.08,67.94,-20.51,6.0,5,24.58
Gamivo,202602,157.99,1579.88,-1037.69,10.0,36,1195.68
Gamivo,202603,3.53,35.3,0.0,10.0,1,0.0
Geekbuying.pl,202604,42.28,844.38,0.0,5.0,1,0.0
GetYourGuide,202601,4.0,80.0,-4.0,5.0,1,8.0
GetYourGuide,202603,16.73,334.39,-9.77,5.0,5,26.5
GetYourGuide,202604,17.84,356.77,8.57,5.0,2,9.27
Giacomo Conti,202602,352.32,7046.32,-0.0,5.0,3,352.32
Giacomo Conti,202603,27.57,551.48,0.0,5.0,1,27.57
Giacomo Conti,202604,238.49,4769.88,153.22,5.0,2,85.28
Gomez,202603,74.89,1124.5,2.82,6.7,2,72.07
Greenpoint,202507,1.65,20.62,0.0,8.0,1,1.65
Greenpoint,202512,18.77,234.68,0.0,8.0,2,18.77
Greenpoint,202602,50.4,629.97,30.28,8.0,2,20.12
Greenpoint,202603,62.19,777.42,31.1,8.0,2,31.1
Greenpoint,202604,3.42,42.81,1.71,8.0,1,1.71
Greenpoint,202605,1.29,16.14,0.65,8.0,1,0.64
Groupon,202601,32.17,536.17,0.0,6.0,4,32.17
Groupon,202602,29.8,496.7,0.0,6.0,5,29.8
Groupon,202603,6.28,89.72,0.9,7.0,2,5.38
Groupon,202604,4.02,84.76,-1.42,4.7,4,5.44
