date,retailer,igraal_slug,picodi_rate,picodi_rate_type,picodi_url
2026-07-23,Audioteka,audioteka,2.1,%,https://www.picodi.com/pl/audioteka-pl/offers
2026-07-23,AUTODOC,autodoc,3.0,up_to_%,https://www.picodi.com/pl/autodoc/offers
2026-07-23,AXA Partners,axa-partners,6.0,%,https://www.picodi.com/pl/axa-assistance/offers
2026-07-23,Banggood,banggood,4.7,up_to_%,https://www.picodi.com/pl/banggood-com/offers
2026-07-23,Bank Pekao,bank-pekao,,not_found,
2026-07-23,Baseus,baseus,1.2,%,https://www.picodi.com/pl/baseus/offers
2026-07-23,BasicLab,basiclab,1.2,%,https://www.picodi.com/pl/basiclab/offers
2026-07-23,BeDiet,bediet,,not_found,
2026-07-23,BIG STAR,bigstar,1.8,%,https://www.picodi.com/pl/big-star/offers
2026-07-23,Bimba Y Lola,bimbaylola,2.4,%,https://www.picodi.com/pl/bimba-y-lola/offers
2026-07-23,Bonprix,bonprix,1.2,%,https://www.picodi.com/pl/bonprix/offers
2026-07-23,Born2Be,born2be,1.8,%,https://www.picodi.com/pl/born2be/offers
2026-07-23,Brainmarket,brainmarket,,not_found,
2026-07-23,Brasty,brasty,1.8,up_to_%,https://www.picodi.com/pl/brasty/offers
2026-07-23,Bricoman,bricoman,,not_found,
2026-07-23,Bricomarche,bricomarche,1.4,%,https://www.picodi.com/pl/bricomarche/offers
2026-07-23,Brooks,brooks,3.0,up_to_%,https://www.picodi.com/pl/brooks/offers
2026-07-23,Byrokko,byrokko,,not_found,
2026-07-23,Canal Plus,canalplus,,not_found,
2026-07-23,Carrefour,carrefour,,not_found,
2026-07-23,Castorama,castorama,,not_found,
2026-07-23,Ceneo,ceneo,,not_found,
2026-07-23,Cobi,cobi,,not_found,
2026-07-23,Cocolita,cocolita,,not_found,
2026-07-23,Colorland,colorland,,not_found,
2026-07-23,Converse,converse,,not_found,
2026-07-23,Crocs,crocs,,not_found,
2026-07-23,Cropp,cropp,,not_found,
2026-07-23,Cyfrowe.pl,cyfrowe.pl,,not_found,
2026-07-23,Dedoles,dedoles,,not_found,
2026-07-23,DeLonghi,delonghi,,not_found,
2026-07-23,Dermacol,dermacol,,not_found,
2026-07-23,Desigual,desigual,,not_found,
2026-07-23,DHgate,dhgate,,not_found,
2026-07-23,DHL,dhl,,not_found,
2026-07-23,Diablo Chairs,diablochairs,,not_found,
2026-07-23,Disney+,disneyplus,,not_found,
2026-07-23,Drogeria.pl,drogeria.pl,,not_found,
2026-07-23,Drop,drop,,not_found,
2026-07-23,Dstreet,dstreet,,not_found,
2026-07-23,Dyson,dyson,,not_found,
2026-07-23,E-Kwiaty,e-kwiaty,,not_found,
2026-07-23,e-torty,e-torty,,not_found,
2026-07-23,eBilet,ebilet,,not_found,
2026-07-23,Ecco,ecco,,not_found,
2026-07-23,Electrolux,electrolux,,not_found,
2026-07-23,Eltrox,eltrox,,not_found,
2026-07-23,EMP,emp,,not_found,
2026-07-23,Empik Foto,empikfoto,,not_found,
2026-07-23,Endo,endo,,not_found,
2026-07-23,eobuwie,eobuwie,,not_found,
2026-07-23,Erli,erli,,not_found,
2026-07-23,ESET,eset,,not_found,
2026-07-23,eSky,esky,,not_found,
2026-07-23,Estro,estro,,not_found,
2026-07-23,Eurofirany,eurofirany,,not_found,
2026-07-23,Euroflorist,euroflorist,,not_found,
2026-07-23,Eveline,eveline,,not_found,
2026-07-23,Eventim,eventim,,not_found,
2026-07-23,eZebra,ezebra,,not_found,
2026-07-23,Fera,fera,,not_found,
2026-07-23,Fielmann,fielmann,,not_found,
2026-07-23,Flexispot,flexispot,,not_found,
2026-07-23,Flixbus,flixbus,,not_found,
2026-07-23,Footdistrict,footdistrict,,not_found,
